Name,County,State
Dearborn Heights City Hall,hall,georgia
City of Delafield,waukesha,wisconsin
Lexington-Fayette County Health Department,fayette,kentucky
Rosebud County,rosebud,montana
"City of Oakland, Kentucky",warren,kentucky
"Westmoreland County, PA",westmoreland,virginia
Augusta County VA - Government,augusta,virginia
"Jessamine County, Kentucky",jessamine,kentucky
City of Seat Pleasant,prince george's,maryland
City of Rochester NH,strafford,new hampshire
City of Anthony NM Municipality,dona ana,new mexico
"City of Moberly, Missouri",randolph,missouri
Etowah County Health Department,etowah,alabama
City of Wilton Manors,broward,florida
"Blue Earth County, Minnesota - Government",blue earth,minnesota
Ashland Massachusetts,ashland,wisconsin
"City of Adel, Iowa",iowa,wisconsin
Webster County Health Department,webster,iowa
City of Willows,glenn,california
"City of Lexington, Minnesota",anoka,minnesota
Town of Kenneth City,pinellas,florida
"City of Vilonia, AR",faulkner,arkansas
"McKenzie County, North Dakota",dakota,minnesota
"City of Litchfield, Michigan",hillsdale,michigan
City of Albertville - Small Town Living. Big City Life.,marshall,alabama
"Cumberland County, TN",cumberland,tennessee
"City of Halstead, Kansas",harvey,kansas
"Union County, Georgia Government",union,new mexico
City of North Plains,washington,oregon
The City of Riverdale,clayton,georgia
"Steele County, North Dakota",dakota,minnesota
Harrison County Health Department & MCH Clinic,harrison,iowa
Linn County Health Department,linn,iowa
City of Laurel - Government,laurel,kentucky
City of West Hollywood Government,los angeles,california
"City of Sandy, Oregon – City Government",oregon,missouri
City of South Euclid,cuyahoga,ohio
"City of Romulus, Michigan",wayne,michigan
City of Hazel Park - City Hall,hall,georgia
Johnson County Health Dept.,johnson,indiana
"Wayne County Health Department, Wayne, WV",wayne,indiana
City of Palacios,matagorda,texas
"The City of Brunswick, MD",frederick,maryland
Louisville Metro Dept. of Public Health & Wellness,jefferson,kentucky
"City of Alexandria, Louisiana - Government",rapides,louisiana
"City of Seymour, Indiana (City Hall)",indiana,pennsylvania
City of Bay Minette,bay,michigan
City of Warrensburg Government,johnson,missouri
Waconia City Government,carver,minnesota
City of San Antonio - Municipal Government,bexar,texas
Rockland County Department of Health,rockland,new york
"City Council, Rochester, New York",york,pennsylvania
City of Cupertino - City Hall,hall,georgia
"Bergen County, NJ",bergen,new jersey
City of Palo Alto - Public Agency,palo alto,iowa
City of Rohnert Park Local Government,park,montana
"County of Somerset, New Jersey",jersey,illinois
City of Alamo Heights Municipal Government,bexar,texas
Myrtle Beach City Government,horry,south carolina
Polk County Government Florida,polk,missouri
"City of Southlake, TX - Government",tarrant,texas
Chester County Health Department,chester,south carolina
"City of Edwardsville, KS - Government",wyandotte,kansas
City of Dodge City - Government,dodge,minnesota
"City of Crystal, MN - Local Government",hennepin,minnesota
City of Elgin - Municipal Government,kane,illinois
City of Pleasant Ridge,oakland,michigan
Cochise County - Government,cochise,arizona
City of Omro,winnebago,wisconsin
"City of Grain Valley, Missouri",jackson,missouri
"City of Liberty, Texas",texas,missouri
Olmsted County Public Health,olmsted,minnesota
Johnson County Public Health,johnson,indiana
Coastal Georgia Public Health,chatham,georgia
Fargo Cass Public Health,cass,indiana
"Jackson County, Michigan",jackson,mississippi
"Johnson County, Iowa",johnson,indiana
"Santa Clara City, Utah",santa clara,california
Union County PA,union,new mexico
"The City of Bristol, Virginia",briston,virginia
Official City of Riverview MI,wayne,michigan
Mahoning County Public Health,mahoning,ohio
Haywood County NC Government,haywood,tennessee
San Patricio County Department of Public Health,san patricio,texas
City of Richwood,brazoria,texas
City of Powder Springs - News and Events,cobb,georgia
City of Irwindale,los angeles,california
"Mississippi County, Arkansas Government",mississippi,missouri
Cheyenne County Kansas,cheyenne,kansas
City of Poplar Bluff City Hall,hall,georgia
"Fulton County, Ohio",ohio,kentucky
Juniata County Government,juniata,pennsylvania
Carbon County Public Health,carbon,utah
"City of Victoria, MN",carver,minnesota
City of Amesbury,essex,massachusetts
City of Malibu - Government,los angeles,california
Alabama Public Health,MANUALLY TAG
"Haltom City, TX - Government",tarrant,texas
County of San Luis Obispo Government,san luis obispo,california
"City of Pinellas Park, FL",pinellas,florida
"City of Clarksville, TN Government",montgomery,tennessee
City Of League City Government,galveston,texas
"City of Middletown, Ohio - City Hall",ohio,kentucky
"Anderson County, S.C.",anderson,texas
City of Pendleton,pendleton,kentucky
City of Nome,district 39,alaska
City of Oak Harbor,island,washington
The City of Exeter,green,wisconsin
"Inc. Village of Garden City, NY",garden,nebraska
"City of Burnsville, Minnesota - Municipal Government",dakota,minnesota
City of Fairfax Government,fairfax,virginia
The Saint Louis County Department of Public Health,st. louis county,missouri
City of Los Alamitos,orange,california
"Shakopee, MN City Government",scott,minnesota
"City of Lansing, Michigan - Government",ingham,michigan
"City of Fitchburg, WI - Government",dane,wisconsin
City of Kennedale - City Hall,hall,georgia
"Carver County, Minnesota Government",carver,minnesota
City of Pocatello - City Hall,hall,georgia
Cuyahoga County,cuyahoga,ohio
Peabody Health Department,essex,massachusetts
"City of Ellsworth, Maine",hancock,maine
"City of Tumwater, WA - Government",thurston,washington
Whatcom County Government,whatcom,washington
City of Aventura - Government,miami-dade,florida
"City of Oxford, NC - Government",granville,north carolina
Cincinnati Health Department,hamilton,ohio
Durham County Department of Public Health,durham,north carolina
Santa Fe County,santa fe,new mexico
City of Belleview,marion,florida
"Urbana, Illinois - City Government",champaign,illinois
"City of Crowley, TX",tarrant,texas
Elk River City Government,elk,pennsylvania
"City of Chardon, Ohio - Municipal Government",ohio,kentucky
"City of Quincy, Illinois, Government",adams,illinois
"City of Gardner, KS Government",johnson,kansas
Scott County Health Department,scott,iowa
City of Missoula,missoula,montana
"City of Logansport, Indiana",indiana,pennsylvania
Long Beach Department of Health & Human Services (LBDHHS),long,georgia
"Roanoke County, Virginia",roanoke,virginia
Winnebago County - Iowa,winnebago,wisconsin
Brazos County,brazos,texas
City of Dakota City,dakota,minnesota
"City of Baxter, Minnesota",crow wing,minnesota
Holyoke City Hall,hall,georgia
"City of College Place, Washington",washington,kansas
Payne County Health Department OK,payne,oklahoma
Mercer County Commission - WV,mercer,missouri
Shelby County Alabama,shelby,alabama
City of Yuma Colorado,yuma,colorado
Portsmouth Health Department,portsmouth,virginia
"City of Hardeeville, SC",jasper,south carolina
Marshall County Health Department,marshall,tennessee
"City of Chester, SC",chester,south carolina
Dallas County Health Department,dallas,texas
"City of Saratoga Springs, Utah",saratoga,new york
"City of Canton, MS - Government",madison,mississippi
Waukegan City Hall,hall,georgia
Rogers County OK Health Department,rogers,oklahoma
City of Shreveport Government,caddo,louisiana
"City of Manchester, MO",st. louis county,missouri
Muskegon County,muskegon,michigan
"Boise County, Idaho",boise,idaho
Meagher County Health Department,meagher,montana
City of Seminole OK,seminole,florida
"Goochland County, VA",goochland,virginia
"Dickinson County, Kansas",dickinson,iowa
"City of Delavan, Wis.",walworth,wisconsin
"City of Pontiac, Michigan USA - Government",oakland,michigan
Wayne County Tennessee Chamber,wayne,indiana
Kent County Health Dept.,kent,michigan
Lee County Health Center,lee,iowa
City of Sherwood Arkansas - Government,arkansas,arkansas
Cass County Health Department - Illinois,cass,indiana
"Emmet County, Michigan",emmet,iowa
The City of Leesville - Municipal Government,lexington,south carolina
Cumberland County NC Government,cumberland,illinois
"City of Avondale, AZ Government",maricopa,arizona
Kanawha County,kanawha,west virginia
Daviess County Fiscal Court,daviess,indiana
"City of Mt. Pleasant, MI",isabella,michigan
County of Santa Clara Public Health Department,santa clara,california
City of Montclair,san bernardino,california
Rabun County Board of Commissioners,rabun,georgia
Boyle County Health Department,boyle,kentucky
City of Dry Ridge,grant,kentucky
City of Diboll,angelina,texas
"City of Delaware, Ohio - Government",ohio,kentucky
"City of Richmond Heights, MO - Government",richmond,virginia
"Wayne County, Michigan",wayne,indiana
City of Mauldin SC Government,greenville,south carolina
City of Novato - City Government,marin,california
"City of Richfield, Minnesota - Local Government",hennepin,minnesota
City of Lakeway Government,travis,texas
City of Tigard Government,washington,oregon
City of Oak Creek Government,creek,oklahoma
"City of Lacey, Washington - Government",washington,kansas
St. Johns County Government Connection,st. johns,florida
"City of Mount Dora, FL - Government",lake,florida
City of Borger,hutchinson,texas
City of Alhambra - Government,los angeles,california
City of Falls Church Government,falls church,virginia
City of Montrose Colorado Government,montrose,colorado
City of Hibbing Government,louis,minnesota
"City of Duncanville, Texas Municipal Government",texas,missouri
City of Madera Local Government,madera,california
City of Vadnais Heights Government,ramsey,minnesota
City of Glasgow Kentucky Municipal Government,barren,kentucky
City of Hope Arkansas,arkansas,arkansas
City of Bozeman,gallatin,montana
"City of Bettendorf, Iowa Government",iowa,wisconsin
City of Signal Hill - California,hill,texas
"City of Pleasant Hill, Iowa - Government",iowa,wisconsin
Pitkin County Government,pitkin,colorado
"City of New London, Connecticut",new london,connecticut
La Crosse County,la crosse,wisconsin
Grand Forks County,grand,colorado
City of Westlake Village,los angeles,california
Seneca County Commissioners,seneca,ohio
Yolo County Health & Human Services Agency,yolo,california
Housing Authority of the City of Pittsburgh,allegheny,pennsylvania
The City of Winder,barrow,georgia
City of Cave Springs Arkansas,arkansas,arkansas
City of Winooski,chittenden,vermont
Kalamazoo County Health & Community Services - HCS,kalamazoo,michigan
Champaign County Illinois,champaign,ohio
San Miguel County Colorado Government,san miguel,colorado
"Brookings County, SD",brookings,south dakota
Vance County Government,vance,north carolina
DeKalb County Government,dekalb,indiana
Meriwether County Government,meriwether,georgia
"City of Lauderdale Lakes, Florida",lauderdale,alabama
Marion County Health Department,marion,indiana
"Visit Fauquier County, Virginia",fauquier,virginia
Wagoner County Health Department,wagoner,oklahoma
City of Valley Alabama - City Hall,hall,georgia
City of Horseshoe Bend,izard,arkansas
City of Winslow,navajo,arizona
"City of Cedar Springs, Michigan",cedar,iowa
City Of Conway Springs,conway,arkansas
Renville County Public Health,renville,north dakota
Lewis and Clark County Government,lewis,washington
Winona County Health and Human Services,winona,minnesota
Park County Health Department,park,montana
"City of Stanton, Michigan",montcalm,michigan
"Yadkin County, NC",yadkin,north carolina
"City of Crosby, Minnesota",crow wing,minnesota
City of Camdenton,camden,missouri
"City of Dayton, Texas",texas,missouri
Santa Barbara County,santa barbara,california
City of Woodhaven - Government,wayne,michigan
"Sidney, Ohio - City Government",ohio,kentucky
"Summit County, Colorado",summit,colorado
Cook County Government,cook,minnesota
"Dade County, Georgia",dade,missouri
City of Bonney Lake - Government,lake,illinois
"City of Union City, California",union,new mexico
City of Doraville,dekalb,georgia
"Moline, IL - Official City Government",rock island,illinois
City of Lafayette Colorado Government,lafayette,mississippi
City of Edmonds - Community and Government,snohomish,washington
East Orange City Hall,orange,new york
Bernalillo County NM,bernalillo,new mexico
Ashland County Health Department,ashland,wisconsin
Chester County Government,chester,south carolina
City of El Segundo - Government,los angeles,california
City of Troutdale,mulnomah,oregon
City of West Point KY,hardin,kentucky
City of Chelsea Massachusetts- Gov,suffolk,massachusetts
City of New Hope,bucks,pennsylvania
City of Alamogordo - Government,otero,new mexico
"City of Sarcoxie, MO",jasper,missouri
City of Pismo Beach,san luis obispo,california
"City of Bella Vista, Arkansas",arkansas,arkansas
"City of Woodstock, GA",cherokee,georgia
Richland County,richland,south carolina
City of Coronado,san diego,california
City of Englewood - City Hall,hall,georgia
"City of Foster City, CA - Government",foster,north dakota
Cook County Department of Public Health,cook,minnesota
"City of Renton, WA -- Government",king,washington
Seattle Department of Transportation,king,washington
Beaverton City Government,washington,colorado
City of Beavercreek Ohio - Municipal Government,ohio,kentucky
"City of Carver - Minnesota, Government",carver,minnesota
City of Forest Lake Government,lake,illinois
"Johnson City, TN - City Government",johnson,indiana
City of Mukilteo - Community and Government,snohomish,washington
Winnebago County Government,winnebago,wisconsin
"City of Charlottesville, Va - Government",albemarle,virginia
The City of North Miami Government,miami,kansas
City of Gulfport Florida,gulf,florida
"Lee County, Georgia Board of Commissioners",lee,iowa
City of Freeport IL - City Hall,hall,georgia
City of Crawfordsville - Official,montgomery,indiana
City of Lewiston,nez perce,idaho
City of Stewartville MN,olmsted,minnesota
Harnett County Health Department,harnett,north carolina
Milwaukee County Department of Health & Human Services,milwaukee,wisconsin
"Mercer County, New Jersey",mercer,missouri
Conway County Government,conway,arkansas
City of Russellville - City Hall,hall,georgia
"City of Crestview Hills, KY",kenton,kentucky
City of Poquoson government,poquoson,virginia
City Of Aledo,parker,texas
County of Edgefield,edgefield,south carolina
City of Johnson,johnson,indiana
"Washington County, NY Public Health Department",washington,kansas
City of Rolling Hills Estates,los angeles,california
City of Edgewood,santa fe,new mexico
Clinton County Government,clinton,michigan
Hopkins County Texas,hopkins,texas
Clinton County Health Department,clinton,michigan
City of American Canyon,canyon,idaho
The City of Sesser,franklin,illinois
City of Sinton,san patricio,texas
City of West Point Nebraska,cuming,nebraska
"City of Park City, Kansas",park,montana
Dallas County Iowa,dallas,texas
"Pocahontas-County, Iowa Government",iowa,wisconsin
City of Elba,coffee,alabama
City of Collins,collin,texas
Ford County Public Health Department,ford,kansas
Des Moines Valley Health and Human Services Public Health,valley,nebraska
Pondera County Montana,pondera,montana
Medina County Commissioners,medina,texas
Hughes County Health Department,hughes,south dakota
Marinette County,marinette,wisconsin
"City of Osawatomie, KS",miami,kansas
Owen County Kentucky,owen,indiana
"Visit York County, SC",york,pennsylvania
City of Sandusky - Government,sandusky,ohio
"City of Margate, Florida Government",broward,florida
"Multnomah County, Oregon",multnomah,oregon
City of Santa Ana - Municipal Government,orange,california
City of Lynn Haven,lynn,texas
"City of Woodbury, MN - Government",washington,minnesota
"Greenwood, South Carolina City Government",greenwood,south carolina
"City of Ridgeland, Mississippi Government",mississippi,missouri
City of Auburn Hills,oakland,michigan
"City of Columbia, Mo. Government",boone,missouri
"Kaysville City, Utah",utah,utah
County Of Lehigh,lehigh,pennsylvania
City Of Country Club Hills,cook,illinois
Douglas County Government,douglas,kansas
City of Paterson - City Hall,hall,georgia
Troup County Georgia Government,troup,georgia
Branch-Hillsdale-St.Joseph Community Health Agency,hillsdale,michigan
"City of Choctaw, OK",oklahoma,oklahmo
City of Tamarac,broward,florida
Box Elder County,box elder,utah
Bertie County Government,bertie,north carolina
"Linn County, Iowa",linn,iowa
"Thomas County, Kansas",thomas,nebraska
Siskiyou County Public Health,siskiyou,california
City of Cayce,lexington,south carolina
Price City,price,wisconsin
DeKalb County Board of Health,dekalb,indiana
"City of Albany, CA",alameda,california
"City of Brentwood, MO",st. louis county,missouri
City of Norcross - Government,gwinnett,georgia
"City of Midlothian, Texas - City Hall - Government",texas,missouri
Mecklenburg County Government,mecklenburg,virginia
Montgomery County Health and Human Services - MD,montgomery,north carolina
Wicomico County Health Department,wicomico,maryland
City of Marquette - Government,marquette,michigan
"City of Loveland, Colorado - Government",colorado,texas
City of Red Wing Government,goodhue,minnesota
El Paso County Public Health,el paso,colorado
City of Marshfield,fond du lac,wisconsin
Orange County Health Department,orange,new york
Citrus County,citrus,florida
"City of El Cerrito, CA",contra costa,california
City of Augusta,augusta,virginia
LanCo Pennsylvania,lancaster,pennsylvania
Rowan County NC,rowan,north carolina
"Dunn County, Wisconsin",dunn,north dakota
"Coweta County, GA Health Department",coweta,georgia
"City of Gloucester, MA",gloucester,massachusetts
"Gate City, VA",scott,virginia
Walker County Health Department,walker,texas
Barnstable County Government,barnstable,massachusetts
"Wilson County, TN - Government",wilson,texas
Colbert County Health Department,colbert,alabama
City of Pleasant Valley,valley,nebraska
Strafford County,strafford,new hampshire
"City of Canton, Texas",texas,missouri
"Sioux County, Iowa - Government",iowa,wisconsin
Okmulgee County Health Department,okmulgee,oklahoma
Creek County Health Department,creek,oklahoma
City of Highland - City Hall,hall,georgia
Warren County Health Services,warren,kentucky
City of Linn Valley,linn,iowa
Official Site Ashe County NC,ashe,north carolina
Pushmataha County Health Department,pushmataha,oklahoma
"City of Truesdale, MO",warren,missouri
City of Carlton,carlton,minnesota
"Madison County, MS Government",madison,tennessee
"City of Creedmoor, NC",granville,north carolina
"City of Randolph, Nebraska",cedar,nebraska
City of Wilmer,dallas,texas
Cotton County Health Department,cotton,oklahoma
Custer County Health Department,custer,montana
Kiowa County Health Department,kiowa,oklahoma
Morgan County Health Department,morgan,indiana
"Butler County, Kansas Government",butler,missouri
"City of Inman, KS",mcpherson,kansas
"City of Mineral Wells, Texas",texas,missouri
"Nelson County Courthouse, ND",nelson,kentucky
Blaine County Health Department,blaine,nebraska
St. Charles County Public Health,charles,maryland
"City of Huntington, IN - Government",huntington,indiana
City of Rosemount - Government,dakota,minnesota
Taylor County Public Health,taylor,texas
The City of Willoughby,lake,ohio
"The City of New Port Richey, FL - City Hall",hall,georgia
City of St. Louis Government,st. louis county,missouri
City of Diamond Bar - City Hall,hall,georgia
Public Health Oakland,oakland,michigan
Monmouth County Government,monmouth,new jersey
"Cornelius, Oregon",oregon,missouri
City of Cocoa Government,brevard,florida
Oregon City - City Hall,hall,georgia
City of Greensboro,guilford,north carolina
"City of Greenville, NC",pitt,north carolina
"City of Brewton, Alabama - Government",escambia,alabama
City of Vinita,craig,oklahoma
"City of Hamilton, MT",ravalli,montana
City of Prairie Village Government,prairie,montana
City of Eudora,douglas,kansas
Dougherty County Georgia Government,dougherty,georgia
City of Waupaca,waupaca,wisconsin
"County of Del Norte, California",del norte,california
"City of Madison, GA - Government",madison,georgia
"City of Sutherlin, Oregon",oregon,missouri
City of Madras,jefferson,oregon
Shelby City Health Department,shelby,alabama
City of Pensacola - Government,escambia,florida
"City of Carmel, Indiana Government",indiana,pennsylvania
"City of Clawson, Michigan",oakland,michigan
Town of Swampscott,essex,massachusetts
The City of Dublin,alameda,california
"Washoe County, Nevada",nevada,arkansas
City of Ravenswood WV,jackson,west virginia
City of Paramount,los angeles,california
"City of Kansas City, Mo., Health Department",jackson,missouri
Delaware Department of Health and Social Services (DHSS),delaware,oklahoma
"City of Bellevue, Nebraska",sarpy,nebraska
"City of Troy, Ohio Government",ohio,kentucky
"City of Creve Coeur, MO - Government",st. louis county,missouri
City of Novi - Government & Community Services,oakland,michigan
"City of Olivette, MO",st. louis county,missouri
Pasadena Public Health Department,los angeles,california
"Wylie, TX City Hall",hall,georgia
"City of Duarte, City Hall",hall,georgia
City of Colleyville Government,tarrant,texas
Milwaukee City Development,milwaukee,wisconsin
"Erie County, NY",erie,pennsylvania
Schenectady Mayor Gary McCarthy,schenectady,new york
City of Washington PA Government,washington,kansas
"City of Dillon, SC - Government",dillon,south carolina
"City of Athens, Alabama (Public Relations)",limestone,alabama
Escambia County Health Department,escambia,alabama
Warren County Ohio Board of Commissioners,warren,kentucky
City of Baker,baker,florida
Leavenworth County Kansas,leavenworth,kansas
"Wood County, Wisconsin",wood,texas
Iredell County Government,iredell,north carolina
"Georgetown, South Carolina - Official City Government",georgetown,south carolina
City of Englewood NJ - Health Dept,bergen,new jersey
Brookline Department of Public Health,norfolk,massachusetts
Lane County Health & Human Services,lane,oregon
Tuscaloosa County Health Department,tuscaloosa,alabama
Custer Health,custer,montana
City of Fairview - Local Government,collin,texas
"City of Glenn Heights, TX",glenn,california
"City of Dickson, Tennessee, USA",dickson,tennessee
City of Melvindale,wayne,michigan
"City of Springfield, Michigan",calhoun,michigan
City of Elysian,le sueur,minnesota
The City of Blytheville,mississippi,arizona
City of Becker,becker,minnesota
Carroll County Coalition for Public Health,carroll,virginia
Calhoun County Public Health,calhoun,alabama
City of Orland,glenn,illinois
"City of Kingsland, Georgia",camden,georgia
"Spalding County, GA Health Department",spalding,georgia
Pawnee County,pawnee,nebraska
City of Appleton MN,swift,minnesota
Caddo County Health Department,caddo,louisiana
Harper County Health Department,harper,oklahoma
"Fluvanna County, VA - Government",fluvanna,virginia
City of Mineral Point,mineral,nevada
Dale County Commission,dale,alabama
"Cook County, Minnesota",cook,minnesota
"City of Maize, Kansas",sedgwick,kansas
"Heard County, GA Health Department",heard,georgia
Atoka County Health Department,atoka,oklahoma
"City of Saginaw, Texas",texas,missouri
Powell County Health Department,powell,montana
"City of West Sacramento, Government",yolo,california
"The City of Whitehall, Ohio",ohio,kentucky
Jefferson County Health Department,jefferson,ohio
"City of Gun Barrel City, Texas",texas,missouri
City of Manitowoc,manitowoc,wisconsin
City of Healdsburg,sonoma,california
Los Angeles County Department of Public Health,los angeles,california
"Hillsborough County, Florida Government",hillsborough,florida
"City of Apple Valley, MN",dakota,minnesota
"City of Largo, Florida USA",pinellas,florida
City of Temple Terrace,hillsborough,florida
"City of Golden, Colorado - Municipal Government",colorado,texas
"City of Blue Springs, Missouri - Municipal Government",jackson,missouri
"City of Phenix City, Alabama - Municipal Government",maricopa,alabama
"City of Greenville, South Carolina Government",greenville,south carolina
City of Hutchinson - Government,hutchinson,south dakota
City of Dothan Government,houston,alabama
City of Stillwater - Government,stillwater,montana
Eau Claire County,eau claire,wisconsin
"Washington County, MN Government",washington,kansas
Barrow County Health Department,barrow,georgia
"Webb County, Texas",texas,missouri
Catoosa County Government,catoosa,georgia
Barton County KS,barton,missouri
"City of Hutchinson, MN",mcleod,minnesota
City of Santa Fe Springs,santa fe,new mexico
Logan County Colorado,logan,north dakota
City of Columbus Kansas,columbus,north carolina
Sherburne County MN Government,sherburne,minnesota
"City of Big Lake, Minnesota",sherburne,minnesota
City of Lyons,boulder,colorado
"City of Beloit, Wisconsin - Government",rock,wisconsin
"The City of Independence, Kentucky",kenton,kentucky
"City of Miami, Oklahoma",oklahoma,oklahoma
"City of Batavia, Illinois - Government Offices",kane,illinois
City of Walnut Creek - City Hall,hall,georgia
OKC-County Health Department,oklahoma,oklahoma
"Baldwin City, KS - Municipal Government",baldwin,alabama
Sibley County,sibley,minnesota
Elkhart County Health Department  Health Education Division,elkhart,indiana
City of De Pere,brown,wisconsin
"City of Plainview, TX - Government",hale,texas
"Gwinnett, Newton, & Rockdale County Health Departments",rockdale,georgia
"Prince George's County Health Department, Maryland",prince george's,maryland
"City of Clarkston, GA Government",decatur,georgia
City of Sonora Texas,texas,missouri
City of Lambertville,hunterdon,new jersey
Bullitt County Health Department,bullitt,kentucky
"City of Corinth, Mississippi – Government",mississippi,missouri
Canton City Updates,canyon,colorado
City of Sartell,stearns,minnesota
"City of East Grand Forks, MN",grand,colorado
"Goodhue County, Minnesota",goodhue,minnesota
Frederick County Health Department,frederick,virginia
Houston County Health Department,houston,texas
Montgomery County Health Department,montgomery,north carolina
Troup County Health Department,troup,georgia
Cullman County Health Department,cullman,alabama
The City of Edwardsville,madison,colorado
Talladega County Health Department,talladega,alabama
Isle of Wight County Virginia,isle of wight,virginia
"City of Lyndhurst, Ohio",ohio,kentucky
Fountain Valley City Hall,fountain,indiana
Limestone County Health Department,limestone,texas
"City of Newport, MN",washington,minnesota
County of Imperial,imperial,california
"City of Houston, Alaska",district 10,alaska
City of Casa Grande,pinal,arizona
Chilton County Health Department,chilton,alabama
Randolph County Health Department,randolph,georgia
Lee County Health Department,lee,iowa
DeKalb County Health Department,dekalb,indiana
Kay County Health Department OK,kay,oklahoma
Osage County Health Department OK,osage,missouri
"City of Marion, Al",perry,alabama
Park County Public Health,park,montana
"Henry County, GA Health Department",henry,illinois
Clay County Iowa,clay,tennessee
Trego County Kansas,trego,kansas
Dickinson-Iron District Health Department,dickinson,michigan
Jefferson County Oklahoma Health Department,jefferson,ohio
"City Government of Sweet Home, Oregon",oregon,missouri
Coffey County,coffey,kansas
Cook County Public Health and Human Services,cook,minnesota
"McLean County, North Dakota",dakota,minnesota
"City of King City, Oregon",king,texas
City of Prairie View,prairie,montana
City of Gunter,grayson,texas
City of Gillett,arkansas,arkansas
Dania Beach City Hall,hall,georgia
"City of Nelsonville, Ohio",ohio,kentucky
Rolette County,rolette,north dakota
Polk County Health Department,polk,missouri
Genesee & Orleans County Health Departments,genesee,michigan
Gove County Health Department,gove,kansas
Worth County Public Health Department,worth,iowa
Choctaw County Health Department of Oklahoma,oklahoma,oklahoma
Pettis County Health Center,pettis,missouri
City of Monterey - Government,monterey,california
"City of Pittsburg, Kansas",crawford,kansas
"City of Florence, Alabama - Government",lauderdale,alabama
City of Milton Florida,santa rosa,florida
City of Hazlehurst,jeff davis,georgia
City of Haverhill Mayor's Office - Official,essex,massachusetts
City of Carroll,carroll,virginia
City of Jordan Minnesota,scott,minnesota
Westchester County Government,westchester,new york
WV Department of Health & Human Resources,MANUALLY TAG
Mason County Health Department - Illinois,mason,washington
City of Laguna Beach - Government,orange,california
City of Lake Forest - Government,lake,illinois
Sedgwick County Government,sedgwick,colorado
City of Crystal River-Government,citrus,florida
City of Hattiesburg-Government,forrest,mississippi
County of Tulare,tulare,california
"City of Brooklyn, Ohio",ohio,kentucky
City of Kaukauna,outagamie,wisconsin
"City of Manor, Texas - Government",texas,missouri
"City of Trenton, Ohio",ohio,kentucky
"City of Bolivar, Tennessee Government",hardemna,tenessee
"City of Heath, TX",rockwall,texas
City of Powell Local Government,powell,montana
City of West Bend,ozaukee,wisconsin
Sanilac County Health Department,sanilac,michigan
Dent County Health Center,dent,missouri
City of Grand Ledge Government,grand,colorado
"Marion County, Florida",marion,indiana
"The City of Texarkana, Texas",texas,missouri
Township of Nutley Health Department,essex,new jersey
Telfair County Chamber of Commerce,telfair,georgia
Cassia County,cassia,idaho
City of Pocomoke,worcester,maryland
Sauk County Health Department,sauk,wisconsin
"City of Eastvale, CA",riverside,california
Arlington Health & Human Services,arlington,virginia
"Columbus County, North Carolina",columbus,north carolina
Canton City Public Health,stark,michigan
"Natrona County, WY",natrona,wyoming
Lauderdale County Health Department,lauderdale,alabama
Waterbury Health Department,new haven,connecticut
"City of Holts Summit, Missouri - Municipal Government",callaway,missouri
City of Lake Forest Park,lake,illinois
NorthWest Bergen Regional Health Commission,bergen,new jersey
City of Clermont Government,clermont,ohio
City of New Carrollton,prince george's,maryland
Tallapoosa County Health Department,tallapoosa,alabama
Jackson County Commission,jackson,mississippi
Marshall County IA-Government,marshall,tennessee
Nobles County,nobles,minnesota
Washington County Health Department,washington,kansas
Coffee County Health Department,coffee,alabama
Clarke County Health Department,clarke,georgia
St. Mary's County Government,st. mary's,maryland
San Benito County Public Health,san benito,california
Christian County Health Department,christian,illinois
"City of Larkspur, CA- Government",marin,california
"City of Chattahoochee Hills, Georgia",chattahoochee,georgia
"Lamar County, GA Health Department",lamar,mississippi
Hampden County Health Coalition,hampden,massachusetts
The City Of River Rouge,wayne,michigan
City of Sedan,chautauqua,kansas
Noble County Health Department OK,noble,indiana
"City of Russell Springs, KY",russell,virginia
Kiowa County Colorado,kiowa,oklahoma
"Benton County, MN",benton,tennessee
Jefferson County,jefferson,ohio
"City of Tonka Bay, MN",hennepin,minnesota
LaGrange County,lagrange,indiana
"Wilkin County, Minnesota - Government",wilkin,minnesota
"Polk County, TX",polk,missouri
Lincoln County NC,lincoln,oregon
Gates County,gates,north carolina
Morgan County West Virginia,morgan,indiana
Henrico County Health Department,henrico,virginia
North Dakota Department of Health,dakota,minnesota
Connecticut Department of Public Health,MANUALLY TAG
City of North Myrtle Beach,horry,south carolina
City of Del Rio Government,val verde,texas
City of Las Vegas Government,clark,nevada
"City of Akron, Ohio - Mayor's Office",ohio,kentucky
"City of Lynnwood, WA - Government",snohomish,washington
Saline County Kansas,saline,kansas
"City of Columbia Heights, MN",columbia,pennsylvania
City of Soldotna,district 29,alaska
Glenn County Health and Human Services Agency - HHSA,glenn,california
Hood River City,hood river,oregon
Willacy County,willacy,texas
Town of Pecos City,pecos,texas
"City of Sparks, Nevada Government",nevada,arkansas
"King County, Washington - Government",washington,kansas
"City of Middletown, NY",orange,new york
"City of Chesterfield, MO",st. louis county,missouri
City of Shaker Heights Government,cuyahoga,ohio
City of Orange Beach,orange,new york
"City of Florence, Oregon - Government",oregon,missouri
"Newton, KS City Government",harvey,kansas
City of Rockford Government,kent,michigan
Onslow County Government,onslow,north carolina
"City of Madison, Wisconsin Government",dane,wisconsin
